Road name;Road Number;Type;m2;Build Year;ZipCode;City;Date of Sale;Type of Sale;Price
Tuborgvej  ;54;Lejlighed;54;1932;2900;Hellerup;20-07-15;Alm. Salg;1700000
Tuborgvej  ;54;Lejlighed;87;1932;2900;Hellerup;12-05-15;Alm. Salg;2815000
Tuborgvej  ;54;Lejlighed;63;1932;2900;Hellerup;29-12-10;Alm. Salg;1575000
Tuborgvej  ;54;Lejlighed;54;1932;2900;Hellerup;10-04-12;Alm. Salg;1340000
Tuborgvej  ;54;Lejlighed;63;1932;2900;Hellerup;04-02-12;Alm. Salg;1435000
Tuborgvej  ;30;Villa;147;1947;2900;Hellerup;22-01-15;Fam. Salg;2337500
Tuborgvej  ;28;Villa;186;1949;2900;Hellerup;03-04-12;Alm. Salg;4700000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;08-03-10;Alm. Salg;995000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;15-09-15;Alm. Salg;1625000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;05-07-13;Alm. Salg;2000000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;11-08-15;Alm. Salg;1750000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;31-07-14;Alm. Salg;1180000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;19-07-11;Alm. Salg;1345000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;29-07-15;Alm. Salg;1425000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;15-05-14;Alm. Salg;1190000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;27-11-12;Alm. Salg;1070000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;12-11-12;Fam. Salg;550000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;26-01-12;Alm. Salg;850000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;09-03-12;Alm. Salg;755000
Tuborgvej  ;25;Lejlighed;66;1978;2900;Hellerup;19-07-12;Alm. Salg;776000
Tuborgvej  ;25;Lejlighed;69;1978;2900;Hellerup;19-09-14;Alm. Salg;1400000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;04-06-10;Alm. Salg;1000000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;19-07-12;Alm. Salg;1200000
Tuborgvej  ;23;Lejlighed;66;1978;2900;Hellerup;20-12-13;Alm. Salg;1466000
Tuborgvej  ;23;Lejlighed;66;1978;2900;Hellerup;17-01-15;Alm. Salg;1600000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;28-06-10;Alm. Salg;1175000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;06-05-12;Alm. Salg;1400000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;20-09-12;Alm. Salg;1400000
Tuborgvej  ;23;Lejlighed;66;1978;2900;Hellerup;15-09-14;Alm. Salg;1395000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;19-06-14;Alm. Salg;1150000
Tuborgvej  ;23;Lejlighed;66;1978;2900;Hellerup;27-11-14;Alm. Salg;1400000
Tuborgvej  ;23;Lejlighed;69;1978;2900;Hellerup;21-12-11;Alm. Salg;1200000
Tuborgvej  ;21;Lejlighed;87;1978;2900;Hellerup;29-09-14;Alm. Salg;2350000
Tuborgvej  ;21;Lejlighed;80;1978;2900;Hellerup;28-04-11;Alm. Salg;2500000
Tuborgvej  ;21;Lejlighed;69;1978;2900;Hellerup;17-03-10;Alm. Salg;1075000
Tuborgvej  ;21;Lejlighed;69;1978;2900;Hellerup;27-01-12;Alm. Salg;1445000
Tuborgvej  ;21;Lejlighed;80;1978;2900;Hellerup;05-10-13;Alm. Salg;2250000
Tuborgvej  ;21;Lejlighed;69;1978;2900;Hellerup;26-02-14;Alm. Salg;1250000
Tuborgvej  ;21;Lejlighed;87;1978;2900;Hellerup;13-10-10;Alm. Salg;2500000
Tuborgvej  ;21;Lejlighed;69;1978;2900;Hellerup;19-11-14;Alm. Salg;1520000
