host_total_listings_count;accommodates;bedrooms;beds;price;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
40;6;30;6;1771;1;1125;0;;;;;;;;
8;16;13;6;1610;2;1125;1;1.0;1.0;1.0;4.0;4.0;4.0;1.0;0.05
8;16;13;24;4000;2;1125;4;4.75;4.75;4.5;5.0;5.0;4.75;4.5;0.14
8;15;12;22;2900;2;1000;19;4.42;4.42;4.47;4.68;4.79;4.21;4.68;0.55
1;12;7;8;2500;6;50;52;4.74;4.6;4.56;4.89;4.85;4.72;4.8;0.44
1;12;7;6;2000;5;1125;1;0.0;;;;;;;0.02
1;15;7;12;3500;2;1125;5;5.0;5.0;4.8;5.0;5.0;5.0;4.8;0.14
3;16;6;10;4000;3;8;0;;;;;;;;
3;12;6;6;2500;5;1125;1;5.0;5.0;5.0;4.0;5.0;5.0;4.0;0.01
2;12;6;8;2643;2;1125;42;4.86;4.86;4.81;4.98;5.0;4.71;4.78;0.59
2;10;6;6;1980;2;28;53;4.92;4.9;4.75;4.98;4.96;4.78;4.92;0.89
2;14;6;5;3500;3;32;23;4.87;4.91;4.83;4.96;4.91;4.78;4.65;0.63
2;12;6;6;5000;3;365;1;5.0;4.0;4.0;5.0;5.0;5.0;5.0;0.91
2;8;6;7;2999;7;365;0;;;;;;;;
1;9;6;9;1500;6;1125;22;4.76;4.81;4.48;4.9;4.95;4.71;4.86;0.34
1;8;6;6;3000;5;30;17;4.67;4.57;4.5;4.86;5.0;4.86;4.5;0.15
1;12;6;5;2381;3;60;39;4.31;4.41;4.13;4.84;4.88;4.72;4.39;0.36
1;8;6;7;4136;1;1125;20;4.84;4.89;4.44;4.95;4.68;5.0;4.84;0.2
1;12;6;7;2800;4;1125;7;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.12
1;9;6;10;4300;3;1124;28;4.93;4.82;4.64;4.93;4.82;4.93;4.82;0.46
1;11;6;6;2699;3;1125;8;4.63;4.38;3.88;4.75;4.75;4.75;4.63;0.14
1;9;6;7;3500;2;16;22;4.7;4.65;4.6;4.8;4.65;4.7;4.6;0.48
1;12;6;8;2300;5;1125;6;4.83;5.0;4.83;4.83;5.0;5.0;4.83;0.15
10;6;5;5;1689;1;1125;2;5.0;5.0;5.0;5.0;5.0;4.5;4.5;0.06
40;10;5;6;5184;1;1125;0;;;;;;;;
25;10;5;6;4571;2;365;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0
20;12;5;6;5340;2;1125;50;4.34;4.36;4.54;4.7;4.2;4.92;4.38;4.29
12;10;5;9;4875;1;1125;110;4.76;4.85;4.71;4.82;4.89;4.96;4.67;2.18
11;11;5;5;3350;3;31;293;4.53;4.62;4.44;4.77;4.69;4.88;4.6;2.07
8;15;5;15;1500;2;1125;6;4.17;4.0;4.5;4.83;4.5;4.17;3.83;0.2
6;12;5;6;2982;2;70;166;4.79;4.87;4.53;4.89;4.85;4.84;4.6;2.54
3;8;5;6;1380;5;1125;21;4.9;4.86;4.81;5.0;5.0;4.75;4.75;0.34
2;8;5;4;800;5;1125;5;4.4;4.8;4.0;4.8;4.6;5.0;4.4;0.11
2;12;5;5;1000;1;1125;5;4.6;4.6;4.0;4.8;4.8;4.8;4.4;0.14
2;16;5;14;2500;3;150;179;4.79;4.75;4.83;4.9;4.92;4.67;4.63;1.86
2;8;5;5;707;6;21;29;5.0;4.97;4.69;4.97;4.9;4.86;4.86;0.36
2;6;5;6;982;5;28;10;4.8;4.9;4.6;4.9;5.0;5.0;4.7;0.14
2;8;5;5;500;14;1125;2;4.0;5.0;4.0;5.0;5.0;5.0;5.0;0.03
2;9;5;6;3630;4;1125;9;4.78;4.89;4.78;4.89;4.89;4.67;4.67;0.12
2;7;5;5;2000;3;1125;38;4.97;4.97;4.76;5.0;5.0;4.87;4.89;0.53
2;10;5;5;2680;2;28;30;4.97;4.97;4.83;5.0;4.97;4.8;4.83;0.48
2;10;5;5;5350;5;1125;14;4.93;4.93;4.71;5.0;5.0;4.92;4.69;0.23
2;12;5;7;2000;2;28;39;4.85;4.95;4.9;4.84;4.9;4.87;4.71;0.64
2;8;5;6;1695;4;31;6;4.83;4.67;4.83;5.0;5.0;4.67;4.67;0.12
2;9;5;5;2429;2;14;4;4.33;4.67;4.0;5.0;5.0;5.0;3.33;0.08
2;8;5;5;2455;3;30;7;4.29;4.14;3.14;4.57;3.86;5.0;4.86;0.21
2;8;5;5;1000;7;365;2;4.0;4.0;3.5;5.0;5.0;4.0;3.5;0.09
2;6;5;5;1020;2;1125;16;4.56;4.56;4.06;4.69;4.63;4.75;4.44;1.53
2;11;5;7;5500;3;365;0;;;;;;;;
1;6;5;5;900;30;90;0;;;;;;;;
1;12;5;5;1800;5;1125;14;4.31;4.38;4.23;5.0;4.92;4.46;4.08;0.12
1;8;5;6;1657;1;1125;2;4.5;5.0;4.0;4.5;5.0;3.5;4.5;0.03
1;7;5;5;1100;5;1125;32;4.65;4.68;4.29;4.87;5.0;4.84;4.45;0.31
1;7;5;5;2200;2;365;68;4.76;4.72;4.74;4.84;4.94;4.75;4.65;0.68
1;8;5;5;2500;5;40;6;4.83;4.83;4.5;5.0;5.0;4.67;4.33;0.07
1;8;5;6;2800;5;1125;2;5.0;5.0;4.0;5.0;5.0;5.0;5.0;0.06
1;9;5;6;5995;2;1125;45;4.77;4.91;4.86;4.95;5.0;4.98;4.82;0.65
1;7;5;5;1100;3;7;0;;;;;;;;
1;10;5;3;10000;3;40;27;4.56;4.85;4.7;5.0;4.96;4.77;4.54;0.38
1;10;5;7;2143;5;21;12;4.75;4.92;4.42;5.0;5.0;4.75;5.0;0.2
1;5;5;5;1595;4;1125;23;4.96;4.96;4.96;4.87;4.96;4.91;4.87;0.31
1;6;5;5;2400;1;1125;31;4.94;4.9;4.97;4.97;4.97;4.71;4.81;0.36
1;8;5;5;1800;4;60;11;4.45;4.73;3.82;4.91;4.82;4.82;4.64;0.13
1;12;5;7;2327;3;1125;103;4.88;4.89;4.83;4.91;4.94;4.37;4.79;1.21
1;8;5;5;1050;2;1125;32;4.75;4.78;4.47;4.97;5.0;4.78;4.72;0.46
1;8;5;5;2000;2;50;44;4.88;4.93;4.95;4.9;5.0;4.62;4.81;0.53
1;8;5;4;1100;3;13;2;5.0;5.0;5.0;5.0;5.0;4.5;5.0;0.03
1;8;5;8;1500;4;28;2;5.0;5.0;5.0;5.0;5.0;4.5;5.0;0.04
1;7;5;5;1400;5;92;8;4.25;4.63;4.0;4.88;4.63;4.25;4.25;0.12
1;6;5;9;2000;7;18;0;;;;;;;;
1;11;5;5;4464;4;1125;45;4.98;4.95;4.91;4.95;4.98;4.74;4.9;0.57
1;8;5;5;1900;4;30;15;4.67;4.79;4.6;4.79;4.93;4.79;4.71;0.21
1;7;5;5;995;10;30;1;5.0;5.0;4.0;5.0;5.0;5.0;5.0;0.05
1;15;5;7;1099;2;16;13;4.62;4.46;4.38;4.85;5.0;4.69;4.42;0.18
1;10;5;9;2500;2;10;33;4.88;4.85;4.61;5.0;5.0;4.85;4.82;0.45
1;8;5;5;1400;5;1125;6;4.67;4.67;4.67;4.83;4.83;4.83;4.83;0.08
1;6;5;6;765;2;20;14;4.77;4.77;4.46;4.85;5.0;4.69;4.62;0.2
1;6;5;5;1250;2;14;36;4.85;4.91;4.69;4.97;4.94;4.79;4.84;0.51
1;9;5;6;1500;3;6;0;;;;;;;;
1;9;5;7;1225;4;15;10;4.9;5.0;4.8;5.0;5.0;5.0;4.8;0.2
1;6;5;4;1198;3;1125;16;5.0;4.93;5.0;5.0;5.0;4.93;5.0;0.27
1;6;5;6;950;3;21;6;4.83;5.0;4.83;5.0;5.0;5.0;4.67;0.13
1;10;5;10;1400;4;14;19;4.84;4.79;4.84;4.79;4.89;4.84;4.74;0.38
1;7;5;4;1700;5;34;3;4.67;5.0;5.0;5.0;5.0;5.0;5.0;0.06
1;10;5;12;6000;5;1125;16;4.69;4.75;4.88;4.94;4.94;4.75;4.5;0.32
1;10;5;6;2500;2;1125;32;4.72;4.84;4.69;4.91;4.97;4.94;4.69;0.84
1;7;5;5;1600;6;14;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
1;6;5;5;1200;3;20;2;5.0;5.0;4.0;5.0;5.0;5.0;5.0;0.07
1;16;5;5;1400;5;1125;0;;;;;;;;
1;10;5;4;1480;5;365;0;;;;;;;;
1;10;5;10;1050;2;45;12;4.92;5.0;4.83;5.0;5.0;4.75;5.0;0.23
10;6;4;4;1890;1;1125;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
10;8;4;4;1845;1;1125;0;;;;;;;;
10;6;4;5;2009;1;1125;0;;;;;;;;
40;10;4;5;2979;1;1125;17;4.53;4.71;4.65;4.94;4.76;4.88;4.53;0.72
40;8;4;4;2572;1;1125;0;;;;;;;;
40;8;4;4;3096;1;1125;23;4.43;4.61;4.26;4.91;4.3;4.87;4.39;2.12
40;8;4;4;4725;1;1125;0;;;;;;;;
40;8;4;4;5184;1;1125;0;;;;;;;;
40;8;4;4;5184;1;1125;0;;;;;;;;
40;8;4;8;1488;1;365;0;;;;;;;;
59;8;4;6;640;1;365;0;;;;;;;;
26;6;4;4;3557;3;90;0;;;;;;;;
25;8;4;5;3929;3;1125;25;4.46;4.71;4.33;4.83;4.67;4.79;4.38;0.61
20;10;4;4;7883;2;1125;49;4.18;4.22;4.24;4.53;4.49;4.84;4.27;2.36
20;10;4;5;4933;2;1125;52;4.48;4.42;4.44;4.69;4.44;4.9;4.52;2.61
20;10;4;5;4831;2;1125;42;4.29;4.62;4.4;4.67;4.52;4.9;4.26;2.06
20;10;4;5;4831;2;1125;56;4.45;4.55;4.48;4.68;4.52;4.86;4.41;2.94
20;10;4;3;4946;2;1125;41;4.17;4.32;3.76;4.66;4.51;5.0;4.2;3.69
13;9;4;6;4308;1;1125;90;4.73;4.79;4.77;4.91;4.91;4.98;4.62;2.0
13;8;4;5;4966;1;1125;17;4.71;4.76;4.71;4.82;4.94;5.0;4.65;0.61
12;8;4;6;4176;1;750;132;4.65;4.74;4.64;4.74;4.91;4.9;4.51;1.63
12;9;4;6;4993;1;1125;88;4.78;4.93;4.87;4.82;4.98;4.98;4.74;1.76
9;8;4;5;2488;1;1120;211;4.87;4.95;4.92;4.86;4.91;4.96;4.7;3.84
